202,1680,LHUIS
203,1260,LOCHIEU
204,1680,LOMPNAS
205,1260,LOMPNIEU
206,1360,LOYETTES
207,1090,LURCY
208,1300,MAGNIEU
209,1430,MAILLAT
210,1340,MALAFRETAZ
211,1560,MANTENAY MONTLIN
212,1570,MANZIAT
213,1851,MARBOZ
214,1680,MARCHAMP
215,1300,MARIGNIEU
216,1240,MARLIEUX
217,1340,MARSONNAS
218,1100,MARTIGNAT
219,1600,MASSIEUX
220,1300,MASSIGNIEU DE RIVES
221,1580,MATAFELON GRANGES
222,1370,MEILLONNAS
223,1450,MERIGNAT
224,1480,MESSIMY SUR SAONE
225,1800,MEXIMIEUX
226,1250,BOHAS MEYRIAT RIGNAT
227,1660,MEZERIAT
228,1170,MIJOUX
229,1410,MIJOUX
230,1390,MIONNAY
231,1700,MIRIBEL
232,1600,MISERIEUX
233,1140,MOGNENEINS
234,1250,MONTAGNAT
235,1470,MONTAGNIEU
236,1200,MONTANGES
237,1090,MONTCEAUX
238,1310,MONTCET
239,1800,LE MONTELLIER
240,1390,MONTHIEUX
241,1120,MONTLUEL
242,1090,MONTMERLE SUR SAONE
243,1310,MONTRACOL
244,1460,MONTREAL LA CLUSE
245,1340,MONTREVEL EN BRESSE
246,1460,NURIEUX VOLOGNAT
247,1300,MURS ET GELIGNIEUX
248,1130,NANTUA
249,1460,NANTUA
250,1300,NATTAGES
251,1400,NEUVILLE LES DAMES
252,1160,NEUVILLE SUR AIN
253,1130,LES NEYROLLES
254,1700,NEYRON
255,1120,NIEVROZ
256,1230,NIVOLLET MONTGRIFFON
257,1230,ONCIEU
258,1510,ORDONNAZ
259,1210,ORNEX
260,1430,OUTRIAZ
261,1100,OYONNAX
262,1190,OZAN
263,1600,PARCIEUX
264,1300,PARVES
265,1630,PERON
266,1960,PERONNAS
267,1800,PEROUGES
268,1540,PERREX
269,1260,LE PETIT ABERGEMENT
270,1430,PEYRIAT
271,1300,PEYRIEU
272,1140,PEYZIEUX SUR SAONE
273,1270,PIRAJOUX
274,1120,PIZAY
275,1130,PLAGNE
276,1330,LE PLANTAY
277,1130,LE POIZAT
